Delta,Power,t,x,y,z,vx,vy,vz
-5,0.01,0.000000,0.000000000,0.000000000,0.000000000,10.000000000,0.000000000,0.000000000
-5.000000000,0.010000000,0.000001,0.000010000,0.000000000,0.000000000,9.992206142,0.000282823,0.002383225
-5.000000000,0.010000000,0.000002,0.000019992,0.000000000,0.000000002,9.992194828,0.000565451,0.004766398
-5.000000000,0.010000000,0.000003,0.000029984,0.000000001,0.000000007,9.992193377,0.000839402,0.007149411
-5.000000000,0.010000000,0.000004,0.000039977,0.000000002,0.000000014,9.992192943,0.001096209,0.009532161
-5.000000000,0.010000000,0.000005,0.000049969,0.000000003,0.000000024,9.992192758,0.001327669,0.011914540
-5.000000000,0.010000000,0.000006,0.000059961,0.000000004,0.000000036,9.992192664,0.001526099,0.014296443
-5.000000000,0.010000000,0.000007,0.000069953,0.000000006,0.000000050,9.992192609,0.001684577,0.016677765
-5.000000000,0.010000000,0.000008,0.000079945,0.000000007,0.000000067,9.992192574,0.001797175,0.019058400
-5.000000000,0.010000000,0.000009,0.000089938,0.000000009,0.000000086,9.992192551,0.001859159,0.021438243
-5.000000000,0.010000000,0.000010,0.000099930,0.000000011,0.000000107,9.992192535,0.001867172,0.023817188
-5.000000000,0.010000000,0.000011,0.000109922,0.000000013,0.000000131,9.992192523,0.001819369,0.026195131
-5.000000000,0.010000000,0.000012,0.000119914,0.000000015,0.000000157,9.992192514,0.001715520,0.028571966
-5.000000000,0.010000000,0.000013,0.000129906,0.000000016,0.000000186,9.992192507,0.001557065,0.030947588
-5.000000000,0.010000000,0.000014,0.000139899,0.000000018,0.000000217,9.992192502,0.001347126,0.033321893
-5.000000000,0.010000000,0.000015,0.000149891,0.000000019,0.000000250,9.992192497,0.001090462,0.035694775
-5.000000000,0.010000000,0.000016,0.000159883,0.000000020,0.000000286,9.992192494,0.000793379,0.038066131
-5.000000000,0.010000000,0.000017,0.000169875,0.000000021,0.000000324,9.992192491,0.000463589,0.040435857
-5.000000000,0.010000000,0.000018,0.000179867,0.000000022,0.000000364,9.992192488,0.000110020,0.042803848
-5.000000000,0.010000000,0.000019,0.000189859,0.000000022,0.000000407,9.992192486,-0.000257419,0.045170001
-5.000000000,0.010000000,0.000020,0.000199852,0.000000021,0.000000452,9.992192485,-0.000628107,0.047534212
-5.000000000,0.010000000,0.000021,0.000209844,0.000000021,0.000000500,9.992192483,-0.000991014,0.049896378
-5.000000000,0.010000000,0.000022,0.000219836,0.000000020,0.000000550,9.992192482,-0.001335026,0.052256396
-5.000000000,0.010000000,0.000023,0.000229828,0.000000019,0.000000602,9.992192481,-0.001649282,0.054614164
-5.000000000,0.010000000,0.000024,0.000239820,0.000000017,0.000000657,9.992192480,-0.001923508,0.056969579
-5.000000000,0.010000000,0.000025,0.000249813,0.000000015,0.000000714,9.992192479,-0.002148344,0.059322538
-5.000000000,0.010000000,0.000026,0.000259805,0.000000013,0.000000773,9.992192478,-0.002315654,0.061672941
-5.000000000,0.010000000,0.000027,0.000269797,0.000000010,0.000000835,9.992192477,-0.002418793,0.064020685
-5.000000000,0.010000000,0.000028,0.000279789,0.000000008,0.000000899,9.992192477,-0.002452855,0.066365671
-5.000000000,0.010000000,0.000029,0.000289781,0.000000006,0.000000965,9.992192476,-0.002414857,0.068707796
-5.000000000,0.010000000,0.000030,0.000299774,0.000000003,0.000001034,9.992192476,-0.002303879,0.071046961
-5.000000000,0.010000000,0.000031,0.000309766,0.000000001,0.000001105,9.992192475,-0.002121154,0.073383066
-5.000000000,0.010000000,0.000032,0.000319758,-0.000000001,0.000001178,9.992192475,-0.001870084,0.075716011
-5.000000000,0.010000000,0.000033,0.000329750,-0.000000003,0.000001254,9.992192475,-0.001556205,0.078045697
-5.000000000,0.010000000,0.000034,0.000339742,-0.000000005,0.000001332,9.992192474,-0.001187086,0.080372026
-5.000000000,0.010000000,0.000035,0.000349735,-0.000000006,0.000001412,9.992192474,-0.000772162,0.082694899
-5.000000000,0.010000000,0.000036,0.000359727,-0.000000007,0.000001495,9.992192474,-0.000322510,0.085014218
-5.000000000,0.010000000,0.000037,0.000369719,-0.000000007,0.000001580,9.992192473,0.000149433,0.087329887
-5.000000000,0.010000000,0.000038,0.000379711,-0.000000007,0.000001667,9.992192473,0.000630205,0.089641808
-5.000000000,0.010000000,0.000039,0.000389703,-0.000000006,0.000001757,9.992192473,0.001105689,0.091949885
-5.000000000,0.010000000,0.000040,0.000399696,-0.000000005,0.000001849,9.992192473,0.001561524,0.094254021
-5.000000000,0.010000000,0.000041,0.000409688,-0.000000003,0.000001943,9.992192473,0.001983525,0.096554123
-5.000000000,0.010000000,0.000042,0.000419680,-0.000000001,0.000002040,9.992192472,0.002358113,0.098850095
-5.000000000,0.010000000,0.000043,0.000429672,0.000000001,0.000002138,9.992192472,0.002672739,0.101141842
-5.000000000,0.010000000,0.000044,0.000439664,0.000000004,0.000002240,9.992192472,0.002916279,0.103429271
-5.000000000,0.010000000,0.000045,0.000449656,0.000000006,0.000002343,9.992192472,0.003079409,0.105712289
-5.000000000,0.010000000,0.000046,0.000459649,0.000000010,0.000002449,9.992192472,0.003154921,0.107990803
-5.000000000,0.010000000,0.000047,0.000469641,0.000000013,0.000002557,9.992192472,0.003137998,0.110264721
-5.000000000,0.010000000,0.000048,0.000479633,0.000000016,0.000002667,9.992192472,0.003026424,0.112533951
-5.000000000,0.010000000,0.000049,0.000489625,0.000000019,0.000002780,9.992192471,0.002820727,0.114798404
-5.000000000,0.010000000,0.000050,0.000499617,0.000000022,0.000002894,9.992192471,0.002524250,0.117057988
-5.000000000,0.010000000,0.000051,0.000509610,0.000000024,0.000003011,9.992192471,0.002143143,0.119312614
-5.000000000,0.010000000,0.000052,0.000519602,0.000000026,0.000003131,9.992192471,0.001686273,0.121562193
-5.000000000,0.010000000,0.000053,0.000529594,0.000000028,0.000003252,9.992192471,0.001165053,0.123806637
-5.000000000,0.010000000,0.000054,0.000539586,0.000000029,0.000003376,9.992192471,0.000593177,0.126045858
-5.000000000,0.010000000,0.000055,0.000549578,0.000000030,0.000003502,9.992192471,-0.000013714,0.128279770
-5.000000000,0.010000000,0.000056,0.000559571,0.000000030,0.000003630,9.992192471,-0.000638458,0.130508285
-5.000000000,0.010000000,0.000057,0.000569563,0.000000029,0.000003761,9.992192471,-0.001262848,0.132731319
-5.000000000,0.010000000,0.000058,0.000579555,0.000000028,0.000003894,9.992192471,-0.001868166,0.134948785
-5.000000000,0.010000000,0.000059,0.000589547,0.000000026,0.000004029,9.992192471,-0.002435752,0.137160601
-5.000000000,0.010000000,0.000060,0.000599539,0.000000024,0.000004166,9.992192471,-0.002947573,0.139366683
-5.000000000,0.010000000,0.000061,0.000609532,0.000000021,0.000004305,9.992192471,-0.003386795,0.141566947
-5.000000000,0.010000000,0.000062,0.000619524,0.000000017,0.000004447,9.992192471,-0.003738313,0.143761313
-5.000000000,0.010000000,0.000063,0.000629516,0.000000013,0.000004590,9.992192470,-0.003989248,0.145949697
-5.000000000,0.010000000,0.000064,0.000639508,0.000000010,0.000004736,9.992192470,-0.004129371,0.148132021
-5.000000000,0.010000000,0.000065,0.000649500,0.000000005,0.000004885,9.992192470,-0.004151460,0.150308204
-5.000000000,0.010000000,0.000066,0.000659493,0.000000001,0.000005035,9.992192470,-0.004051581,0.152478167
-5.000000000,0.010000000,0.000067,0.000669485,-0.000000003,0.000005187,9.992192470,-0.003829278,0.154641832
